codigo,quesito,tipo,unidade
Ano,Ano de referência,NA,NA
Trimestre,Trimestre de referência,1 a 4,Número do trimestre (1 a 4)
UF,Unidade da Federação,11,Rondônia
Capital,Município da Capital,11,Município de Porto Velho (RO)
RM_RIDE,"Região Metropolitana e Região Administrativa Integrada
de Desenvolvimento",13,Região Metropolitana de Manaus (AM)
UPA,Unidade Primária de Amostragem (UPA),NA,UF (2) + Número Sequencial (6) + DV (1)
Estrato,NA,NA,As 2 primeiras posições representam o código da Unidade da Federação
V1008,Número de seleção do domicílio,01 a 14,Número do domicílio
V1014,Painel,01 a 99,Grupo de amostra
V1016,Número da entrevista no domicílio,1 a 5,Número da entrevista (1 a 5)
V1022,Situação do domicílio,1,Urbana
V1023,Tipo de área,1,Capital
V1027,Peso do domicílio e das pessoas,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista sem calibração pela projeção de população
V1028,Peso do domicílio e das pessoas,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população
V1029,Projeção da população por níveis geográficos,NA,Projeção da população do trimestre por níveis geográficos (referência: mês do meio)
V1033,Projeção da população por sexo e idade,NA,Projeção da população do trimestre por sexo e idade (referência: mês do meio)
posest,Domínios de projeção geográficos,NA,"As 2 primeiras posições representam o código da Unidade da Federação e a última, o tipo de área. UF(2) + V1023(1)"
posest_sxi,Domínios de projeção por sexo e idade,NA,A primeira posição representa o sexo (1- Homens; 2-Mulheres) e as 2 últimas representam os grupos etários. Sexo(1) + Idade(2)
V2001,Número de pessoas no domicílio,01 a 30,NA
V2003,Número de ordem,01 a 30,NA
V2005,Condição no domicílio,01,Pessoa responsável pelo domicílio
V2007,Sexo,1,Homem
V2008,Dia de nascimento,01 a 31,Dia de nascimento
V20081,Mês de nascimento,01 a 12,Mês
V20082,Ano de nascimento,Ano de referência menos 130 até ano de referência,Ano
V2009,Idade do morador na data de referência,0 a 130,Idade (em anos)
V2010,Cor ou raça,1,Branca
V3001,... sabe ler e escrever?,1,Sim
V3002,... frequenta escola?,1,Sim
V3002A,A escola que ... frequenta é de,1,Rede privada
V3003,Qual é o curso que ... frequenta?,01,Pré-escolar (maternal e jardim de infância)
V3003A,Qual é o curso que ... frequenta?,01,Creche (disponível apenas no questionário anual de educação)
V3004,A duração deste curso que ... frequenta é de:,1,8 anos
V3005,Este curso que ... frequenta é seriado?,1,Sim
V3005A,Esse curso que .... frequenta é organizado em:,1,Períodos semestrais
V3006,Qual é o ano/série/semestre que ... frequenta?,01,Primeira (o)
V3006A,Qual é a etapa do ensino fundamental que ... frequenta?,1,Anos iniciais (primeiro segmento)
V3007,... já concluiu algum outro curso de graduação?,1,Sim
V3008,Anteriormente ... frequentou escola?,1,Sim
V3009,Qual foi o curso mais elevado que ... frequentou anteriormente?,01,Classe de alfabetização - CA
V3009A,Qual foi o curso mais elevado que ... frequentou anteriormente?,01,Creche (disponível apenas no questionário anual de educação)
