ano,percentil,ordem,limite_superior
2012,P5,5,307
2012,P10,10,619
2012,P20,20,1234
2012,P30,30,1313
2012,P40,40,1550
2012,P50,50,1845
2012,P60,60,2154
2012,P70,70,2748
2012,P80,80,3863
2012,P90,90,6245
2012,P95,95,9888
2012,P99,99,21541
2013,P5,5,379
2013,P10,10,656
2013,P20,20,1285
2013,P30,30,1361
2013,P40,40,1587
2013,P50,50,1928
2013,P60,60,2339
2013,P70,70,2909
2013,P80,80,3941
2013,P90,90,6043
2013,P95,95,9880
2013,P99,99,23796
2014,P5,5,365
2014,P10,10,716
2014,P20,20,1305
2014,P30,30,1398
2014,P40,40,1666
2014,P50,50,1930
2014,P60,60,2354
2014,P70,70,2879
2014,P80,80,3833
2014,P90,90,6448
2014,P95,95,9670
2014,P99,99,25486
2015,P5,5,331
2015,P10,10,661
2015,P20,20,1297
2015,P30,30,1381
2015,P40,40,1650
2015,P50,50,1976
2015,P60,60,2432
2015,P70,70,2935
2015,P80,80,3929
2015,P90,90,6231
2015,P95,95,9051
2015,P99,99,23478
2016,P5,5,308
2016,P10,10,618
2016,P20,20,1263
2016,P30,30,1389
2016,P40,40,1578
2016,P50,50,1908
2016,P60,60,2366
2016,P70,70,3041
2016,P80,80,4007
2016,P90,90,6412
2016,P95,95,10003
2016,P99,99,24044
2017,P5,5,229
2017,P10,10,561
2017,P20,20,1200
2017,P30,30,1418
2017,P40,40,1553
2017,P50,50,1924
2017,P60,60,2311
2017,P70,70,2995
2017,P80,80,3958
2017,P90,90,6210
2017,P95,95,9856
2017,P99,99,23091
2018,P5,5,217
2018,P10,10,520
2018,P20,20,1162
2018,P30,30,1410
2018,P40,40,1639
2018,P50,50,1995
2018,P60,60,2343
2018,P70,70,2928
2018,P80,80,4221
2018,P90,90,6647
2018,P95,95,10203
2018,P99,99,26124
2019,P5,5,214
2019,P10,10,555
2019,P20,20,1131
2019,P30,30,1403
2019,P40,40,1663
2019,P50,50,2036
2019,P60,60,2399
2019,P70,70,2850
2019,P80,80,4158
2019,P90,90,6786
2019,P95,95,10101
2019,P99,99,26274
2020,P5,5,201
2020,P10,10,536
2020,P20,20,1095
2020,P30,30,1415
2020,P40,40,1628
2020,P50,50,2009
2020,P60,60,2411
2020,P70,70,2824
2020,P80,80,4064
2020,P90,90,6696
2020,P95,95,10046
2020,P99,99,25051
2021,P5,5,260
2021,P10,10,570
2021,P20,20,1144
2021,P30,30,1377
2021,P40,40,1542
2021,P50,50,1890
2021,P60,60,2313
2021,P70,70,2789
2021,P80,80,3825
2021,P90,90,6236
2021,P95,95,9908
2021,P99,99,24751
2022,P5,5,287
2022,P10,10,584
2022,P20,20,1169
2022,P30,30,1388
2022,P40,40,1582
2022,P50,50,1863
2022,P60,60,2297
2022,P70,70,2875
2022,P80,80,3863
2022,P90,90,5882
2022,P95,95,9609
2022,P99,99,22887
2023,P5,5,325
2023,P10,10,650
2023,P20,20,1321
2023,P30,30,1447
2023,P40,40,1654
2023,P50,50,2040
2023,P60,60,2386
2023,P70,70,3156
2023,P80,80,4215
2023,P90,90,6558
2023,P95,95,10851
2023,P99,99,24211
2024,P5,5,316
2024,P10,10,641
2024,P20,20,1422
2024,P30,30,1503
2024,P40,40,1727
2024,P50,50,2106
2024,P60,60,2630
2024,P70,70,3162
2024,P80,80,4256
2024,P90,90,6846
2024,P95,95,10582
2024,P99,99,24264
2025,P5,5,307
2025,P10,10,703
2025,P20,20,1500
2025,P30,30,1536
2025,P40,40,1846
2025,P50,50,2125
2025,P60,60,2780
2025,P70,70,3219
2025,P80,80,4638
2025,P90,90,7176
2025,P95,95,11238
2025,P99,99,25649
