uf,sigla,regiao,uf_codigo,ano,p10,p50,p90,razao_p90_p10
Rondônia,RO,Norte,11,2025,811,2188,6577,8.109741060419235
Acre,AC,Norte,12,2025,599,1704,5505,9.190317195325543
Amazonas,AM,Norte,13,2025,401,1703,5094,12.703241895261845
Roraima,RR,Norte,14,2025,504,1975,7483,14.847222222222221
Pará,PA,Norte,15,2025,298,1520,4961,16.64765100671141
Amapá,AP,Norte,16,2025,750,1904,6594,8.792
Tocantins,TO,Norte,17,2025,695,2014,6030,8.676258992805755
Maranhão,MA,Nordeste,21,2025,296,1514,4480,15.135135135135135
Piauí,PI,Nordeste,22,2025,232,1519,5224,22.517241379310345
Ceará,CE,Nordeste,23,2025,368,1526,4741,12.883152173913043
Rio Grande do Norte,RN,Nordeste,24,2025,502,1548,6431,12.810756972111554
Paraíba,PB,Nordeste,25,2025,305,1523,4984,16.340983606557376
Pernambuco,PE,Nordeste,26,2025,401,1549,5723,14.271820448877806
Alagoas,AL,Nordeste,27,2025,398,1524,5009,12.585427135678392
Sergipe,SE,Nordeste,28,2025,307,1533,6005,19.560260586319217
Bahia,BA,Nordeste,29,2025,299,1518,4978,16.648829431438127
Minas Gerais,MG,Sudeste,31,2025,796,2042,6331,7.953517587939698
Espírito Santo,ES,Sudeste,32,2025,986,2178,7001,7.100405679513185
Rio de Janeiro,RJ,Sudeste,33,2025,997,2262,8960,8.986960882647944
São Paulo,SP,Sudeste,35,2025,1299,2667,8938,6.880677444187837
Paraná,PR,Sul,41,2025,1096,2662,8120,7.408759124087592
Santa Catarina,SC,Sul,42,2025,1521,2987,7969,5.239316239316239
Rio Grande do Sul,RS,Sul,43,2025,999,2538,7938,7.945945945945946
Mato Grosso do Sul,MS,Centro-Oeste,50,2025,1014,2496,7767,7.659763313609467
Mato Grosso,MT,Centro-Oeste,51,2025,1223,2675,7083,5.791496320523303
Goiás,GO,Centro-Oeste,52,2025,1003,2445,7126,7.10468594217348
Distrito Federal,DF,Centro-Oeste,53,2025,1207,3015,15953,13.217067108533554
