trimestre_codigo,ano,tri,ocupadas,renda_habitual_principal,renda_habitual_todos,renda_efetiva_principal,renda_efetiva_todos
201201,2012,1,87713,3070,3166,3247,3347
201202,2012,2,89318,3081,3176,3067,3159
201203,2012,3,89958,3097,3196,3089,3186
201204,2012,4,90209,3084,3181,3114,3210
201301,2013,1,89298,3139,3232,3271,3365
201302,2013,2,90419,3175,3268,3157,3251
201303,2013,3,90982,3218,3311,3202,3293
201304,2013,4,91683,3191,3281,3217,3306
201401,2014,1,90947,3257,3347,3376,3468
201402,2014,2,91573,3232,3320,3231,3319
201403,2014,3,91827,3257,3349,3241,3329
201404,2014,4,92340,3251,3341,3262,3350
201501,2015,1,91312,3251,3340,3360,3450
201502,2015,2,91553,3233,3326,3222,3313
201503,2015,3,91466,3191,3286,3168,3260
201504,2015,4,91585,3149,3232,3276,3359
201601,2016,1,89909,3153,3238,3489,3578
201602,2016,2,89827,3115,3198,3135,3216
201603,2016,3,88939,3141,3224,3159,3241
201604,2016,4,89239,3162,3252,3266,3356
201701,2017,1,87880,3203,3293,3527,3620
201702,2017,2,89163,3164,3260,3166,3258
201703,2017,3,90176,3174,3272,3201,3295
201704,2017,4,91066,3191,3298,3302,3406
201801,2018,1,89691,3224,3323,3546,3644
201802,2018,2,90212,3223,3329,3234,3336
201803,2018,3,91607,3219,3318,3243,3340
201804,2018,4,92152,3235,3343,3343,3448
201901,2019,1,91203,3255,3361,3586,3695
201902,2019,2,92662,3211,3320,3221,3327
201903,2019,3,93191,3217,3325,3242,3344
201904,2019,4,93920,3240,3353,3374,3484
202001,2020,1,91523,3287,3391,3617,3718
202002,2020,2,82610,NA,NA,NA,NA
202003,2020,3,81954,NA,NA,NA,NA
202004,2020,4,85669,NA,NA,NA,NA
202101,2021,1,85497,NA,NA,NA,NA
202102,2021,2,87743,NA,NA,NA,NA
202103,2021,3,91265,NA,NA,NA,NA
202104,2021,4,93988,NA,NA,NA,NA
202201,2022,1,93523,NA,NA,NA,NA
202202,2022,2,96445,3045,3136,3080,3170
202203,2022,3,97435,3152,3252,3167,3266
202204,2022,4,97517,3214,3310,3345,3438
202301,2023,1,95978,3238,3330,3536,3629
202302,2023,2,97038,3233,3329,3257,3351
202303,2023,3,97938,3292,3384,3330,3420
202304,2023,4,99062,3316,3410,3433,3526
202401,2024,1,98290,3361,3460,3678,3780
202402,2024,2,99883,3411,3520,3445,3553
202403,2024,3,101058,3404,3506,3460,3560
202404,2024,4,101832,3449,3555,3589,3694
202501,2025,1,100511,3499,3596,3831,3929
202502,2025,2,102316,3522,3635,3546,3655
202503,2025,3,102433,3541,3645,3579,3680
202504,2025,4,102998,3625,3734,3750,3857
202601,2026,1,101976,3680,3795,3995,4112
202602,2026,2,103057,3621,3738,3657,3770
