uf,sigla,regiao,uf_codigo,trimestre_codigo,pessoas_14mais,ocupadas,desocupadas,fora_forca,renda_habitual_principal,renda_habitual_todos,renda_efetiva_principal,renda_efetiva_todos
Rondônia,RO,Norte,11,202602,1409,823,22,563,3720,3799,3726,3800
Acre,AC,Norte,12,202602,664,337,24,303,3039,3149,3027,3131
Amazonas,AM,Norte,13,202602,3248,1847,150,1251,2704,2771,2689,2775
Roraima,RR,Norte,14,202602,504,307,16,181,3395,3568,3390,3560
Pará,PA,Norte,15,202602,6761,3765,250,2747,2506,2593,2493,2576
Amapá,AP,Norte,16,202602,632,343,37,251,3058,3134,3076,3151
Tocantins,TO,Norte,17,202602,1244,769,33,443,3351,3498,3358,3497
Maranhão,MA,Nordeste,21,202602,5551,2729,174,2647,2218,2284,2197,2262
Piauí,PI,Nordeste,22,202602,2743,1330,121,1293,2413,2547,2392,2522
Ceará,CE,Nordeste,23,202602,7556,3654,257,3644,2636,2727,2644,2729
Rio Grande do Norte,RN,Nordeste,24,202602,2851,1383,83,1386,2737,2861,2756,2873
Paraíba,PB,Nordeste,25,202602,3358,1731,99,1528,2644,2799,2657,2834
Pernambuco,PE,Nordeste,26,202602,7744,3675,334,3735,2645,2771,2666,2792
Alagoas,AL,Nordeste,27,202602,2557,1215,105,1237,2466,2578,2470,2579
Sergipe,SE,Nordeste,28,202602,1861,974,84,804,2865,3042,2865,3039
Bahia,BA,Nordeste,29,202602,12209,6557,656,4996,2469,2563,2459,2547
Minas Gerais,MG,Sudeste,31,202602,17890,11013,437,6440,3341,3463,3371,3487
Espírito Santo,ES,Sudeste,32,202602,3400,2080,49,1271,3505,3637,3514,3637
Rio de Janeiro,RJ,Sudeste,33,202602,14529,8262,631,5636,4001,4158,4080,4226
São Paulo,SP,Sudeste,35,202602,38669,24554,1391,12725,4336,4447,4397,4505
Paraná,PR,Sul,41,202602,9857,6285,198,3374,4083,4204,4134,4247
Santa Catarina,SC,Sul,42,202602,6830,4550,98,2181,4301,4372,4335,4404
Rio Grande do Sul,RS,Sul,43,202602,9392,5902,256,3235,4009,4169,4042,4185
Mato Grosso do Sul,MS,Centro-Oeste,50,202602,2272,1444,40,788,3731,3840,3773,3878
Mato Grosso,MT,Centro-Oeste,51,202602,3084,2076,46,962,3994,4137,4068,4207
Goiás,GO,Centro-Oeste,52,202602,6090,3884,164,2042,3844,3946,3871,3971
Distrito Federal,DF,Centro-Oeste,53,202602,2493,1567,109,818,6007,6171,6156,6327
